Date,Close,High,Low,Open,Volume
,GOOG,GOOG,GOOG,GOOG,GOOG
2015-01-02,26.014022827148438,26.334236289400085,25.97882972147197,26.222210306819264,28951268
2015-01-05,25.471744537353516,25.99023088784582,25.43159508343958,25.937191894961067,41196796
2015-01-06,24.88138198852539,25.58599869812668,24.83627618927803,25.52775497450314,57998800
2015-01-07,24.838754653930664,25.143302703865842,24.766880024812913,25.131207622241284,41301082
2015-01-08,24.91707420349121,24.956728782246618,24.33811431993723,24.684597955684886,67071641
2015-01-09,24.594383239746094,25.02810541050365,24.525978431139116,25.020176012006146,41427428
2015-01-12,24.41494369506836,24.5847659247843,24.167596522502024,24.533412547129785,46535413
2015-01-13,24.594877243041992,24.93194113387502,24.407011938249664,24.726728611416895,47409807
2015-01-14,24.827354431152344,24.944334864259087,24.437249639128865,24.519038863105987,44714427
2015-01-15,24.872953414916992,25.065775047238514,24.673192137831258,25.060321927472973,54316718
2015-01-16,25.184741973876953,25.190195094338197,24.784227719916743,24.78472449236488,45965854
2015-01-20,25.126253128051758,25.403835177010507,25.08243476201235,25.329484264526595,44640224
2015-01-21,25.678443908691406,25.739909068892977,25.09155278452715,25.14360012535243,45374234
2015-01-22,26.488887786865234,26.58505117924572,25.760729334483454,25.848959536144456,53538588
2015-01-23,26.764488220214844,26.874530903355588,26.419987898996922,26.5483713453408,45634948
2015-01-26,26.52953338623047,26.717398694813564,26.25492629933408,26.69410158389865,30874534
2015-01-27,25.707691192626953,26.305983484410532,25.685880605661076,26.269796832907122,38080263
2015-01-28,25.279911041259766,25.923805805136453,25.279911041259766,25.913396337763206,33676205
2015-01-29,25.312631607055664,25.33394542286777,24.84371438664144,25.329485846781118,83727244
2015-01-30,26.495332717895508,26.76052388911125,25.553531765144804,25.57038600337033,112127002
2015-02-02,26.195938110351562,26.419986265957682,25.703721961178534,26.35703458173678,56996054
2015-02-03,26.233612060546875,26.439816247521467,25.93719247522694,26.172146895179893,40773638
2015-02-04,25.91240882873535,26.403731975089162,25.838552792688123,26.233612051433656,33273101
2015-02-05,26.15132713317871,26.196931603389697,25.879196317525484,25.963463716061444,36995292
2015-02-06,26.320852279663086,26.62817620770384,26.0933323841444,26.154302672575575,35270570
2015-02-09,26.163719177246094,26.370420124476922,26.07400055667949,26.172145348043635,25355423
2015-02-10,26.61528778076172,26.652960956068355,26.118612024639194,26.23658410649554,34997823
2015-02-11,26.56720733642578,26.690137663857282,26.438725292322175,26.533995632454253,27555446
2015-02-12,26.912200927734375,27.00588614096859,26.50291542999051,26.63065420383364,32404724
2015-02-13,27.213579177856445,27.258190101417387,26.922115961311714,26.933022202059867,38006060
2015-02-17,26.907743453979492,27.26265325499293,26.820997879394653,27.10552146795479,32336537
2015-02-18,26.752098083496094,27.039099845009893,26.64354192258843,26.836365483618696,29061570
2015-02-19,26.909229278564453,26.921125272461154,26.668326869804854,26.66981339502242,19782163
2015-02-20,26.714920043945312,26.952849392929927,26.55877801988759,26.922115864478787,28887092
2015-02-23,26.365957260131836,26.590452887883774,26.24203529439718,26.571169775263527,29157834
2015-02-24,26.573156356811523,26.607854587348502,26.184539966953704,26.27128364721798,20101036
2015-02-25,26.958797454833984,27.075283007610935,26.541182480141558,26.563736328115542,36519991
2015-02-26,27.53428840637207,27.567005235866397,26.841323015135846,26.92608529538589,46230579
2015-02-27,27.679025650024414,27.991802669793778,27.406398080992297,27.472821483978233,48203982
2015-03-02,28.32044219970703,28.36059165033364,27.69637468700627,27.784606778409266,42592618
2015-03-03,28.434450149536133,28.521193821500436,28.08152177679033,28.276326725560455,34095352
2015-03-04,28.421064376831055,28.606449601287775,28.155378357257412,28.34671157808451,37536775
2015-03-05,28.518220901489258,28.64610757034269,28.42304916242466,28.502853189310144,27792094
